"Year","Stock","Counts","Mean","Lower95%","Median50%","Upper95%"
1992,"Lower","Run",72571.9096132975,50670.5415999257,71073.7765352269,99628.0893709579
1993,"Lower","Run",183422.999992519,127788.939134077,183111.023541103,244603.18430563
1994,"Lower","Run",152622.342344149,100652.623597251,148665.957711766,228416.065222054
1995,"Lower","Run",121861.008808782,89988.0599964808,120318.364547719,161678.51673552
1996,"Lower","Run",76916.865798875,56310.7115400942,76053.8396209982,101603.796802934
1997,"Lower","Run",155506.489385998,114719.939902708,153954.879947027,203475.872828557
1998,"Lower","Run",96706.4863931603,71788.8808894409,95535.6694001977,127455.695301289
1999,"Lower","Run",129824.591628587,92093.3837700055,126821.472091823,177465.667564172
2000,"Lower","Run",55527.5610487575,41098.7501167769,55036.3358624423,73359.1898250327
2001,"Lower","Run",109411.234262623,80708.9112806657,107363.53527153,150264.399162365
2002,"Lower","Run",93785.165513479,77884.2726304427,93529.3115840757,111873.998506506
2003,"Lower","Run",108208.398025134,88522.9808119055,107430.657056671,129182.723557456
2004,"Lower","Run",102292.45550495,81108.9588199146,101760.633065344,127653.812216613
2005,"Lower","Run",100162.543919966,80618.4983987421,99511.3066541156,121121.490790046
2006,"Lower","Run",96849.2973944557,79156.7545920744,96584.2432684005,115372.478192917
2007,"Lower","Run",81746.4438782477,67051.760336739,81374.6112014295,99173.0475801956
2008,"Lower","Run",79279.5337710998,65200.6529976743,79115.431484594,94548.9114730845
2009,"Lower","Run",82072.7801694208,66979.0468465116,81581.0984046211,96991.0624842441
2010,"Lower","Run",50696.3726148386,40284.1475639935,50529.1349539853,62290.312696852
2011,"Lower","Run",74909.614571142,61771.1292089086,74416.2653043829,89778.1485342412
2012,"Lower","Run",47573.6485651122,38205.8178947443,47353.4184215089,57126.6143110382
2013,"Lower","Run",42179.380464585,33655.7503691859,41759.3155571468,52082.1944043716
2014,"Lower","Run",65388.0905369373,52015.4085016764,65359.8958577163,80127.2838197114
2015,"Lower","Run",65138.3940649055,51091.778259604,64540.1119795001,81828.7309913396
2016,"Lower","Run",54207.566112839,42539.6768339035,53925.0790427299,67716.1699497555
2017,"Lower","Run",57431.5210726859,45107.0455575505,57077.0892985438,71979.9788981001
2018,"Lower","Run",50163.5127800066,39330.5623321736,49875.6156448712,62713.0511069039
2019,"Lower","Run",85812.3684768246,71912.7121730351,85656.1003864753,102117.390372649
2020,"Lower","Run",54354.1794451719,43583.0833784157,53958.6665100104,66982.9483221721
2021,"Lower","Run",40792.4858470757,31162.423780401,40527.463916972,51560.8189941306
2022,"Lower","Run",15552.4081350666,12277.7635588766,15423.2271888017,19527.7288757443
2023,"Lower","Run",13807.8527503263,10710.8685748497,13675.2227674489,17614.3670773481
2024,"Lower","Run",20714.5441761969,16164.7105286002,20531.3619990148,26344.9623963389
1981,"Total","Run",409984.189043362,318203.15059189,407047.502298081,527810.224518165
1982,"Total","Run",336714.364513456,266785.734999519,334898.10863956,423316.089543813
1983,"Total","Run",395610.257187631,316938.49135545,391245.386034206,490431.99455724
1984,"Total","Run",361915.926062888,272096.573328572,355829.032641961,488071.210037207
1985,"Total","Run",408269.714315595,325822.681968869,406916.640192613,497729.474047212
1986,"Total","Run",422135.640174825,343327.866421666,419232.135229231,505816.420158922
1987,"Total","Run",375361.348640907,311651.221223249,372323.390460475,454669.654484766
1988,"Total","Run",339066.195351008,281380.703020537,337859.006802231,402161.782179532
1989,"Total","Run",318467.871266246,262256.971299856,315830.350670613,391511.055621499
1990,"Total","Run",411512.327352352,339190.171337335,409374.957577141,490821.913834233
1991,"Total","Run",364162.527425561,301978.778024242,361030.854210517,443676.311847817
1992,"Total","Run",331730.406304377,275867.25504436,329576.536505678,403248.145931144
1993,"Total","Run",463364.604798969,379763.353621768,463913.170215082,547810.48329438
1994,"Total","Run",484369.485432289,403181.461135952,480155.716898522,584182.322311164
1995,"Total","Run",493389.944471142,408441.506619572,489888.914065391,592074.850780944
1996,"Total","Run",346823.426340203,293087.93862363,344563.164377542,418131.512785919
1997,"Total","Run",489878.682058816,414940.5516144,488451.761066057,578488.425418342
1998,"Total","Run",245554.660988945,206294.710564832,244465.683219363,292598.429582978
1999,"Total","Run",322032.515472859,265703.918229425,320469.555122544,392731.850277167
2000,"Total","Run",134508.876255395,113147.930575835,133861.249047507,157518.971719109
2001,"Total","Run",283473.353572959,233019.273388726,281470.809135421,349230.381553089
2002,"Total","Run",243925.967715966,215590.666117407,243663.094391317,274642.584995543
2003,"Total","Run",372968.049937905,342445.192954473,372320.238924899,405575.946966257
2004,"Total","Run",310840.840240614,277389.66764743,309314.30392606,350614.695527763
2005,"Total","Run",305144.823548158,272178.5173564,303862.498782501,341773.869215271
2006,"Total","Run",289431.212911953,260506.66257583,288810.221405834,322917.550646087
2007,"Total","Run",235264.716243119,208283.332132858,234479.419085363,266011.048314238
2008,"Total","Run",190961.755229046,170638.273006337,191146.954022747,210733.121434424
2009,"Total","Run",231839.981742099,208728.439692509,231014.47595489,254761.627985073
2010,"Total","Run",159927.956006591,137587.652360803,159694.626278697,184886.122712304
2011,"Total","Run",192239.994740188,175179.850131548,191741.173228651,212494.059516656
2012,"Total","Run",137078.316713549,122696.215707677,137134.356348674,151743.863411454
2013,"Total","Run",102381.978613182,90633.9000782511,102015.848579901,115830.029821763
2014,"Total","Run",175600.98402503,158039.634144554,175710.70604748,195001.745481069
2015,"Total","Run",204664.980872802,185532.116868598,204372.188327095,227869.224207129
2016,"Total","Run",189952.266658102,174496.42879531,189699.656994672,207591.867619779
2017,"Total","Run",243118.764959443,221481.923129896,242700.134950155,266039.44166797
2018,"Total","Run",178803.604220295,161026.231601152,178228.388777325,198997.427041939
2019,"Total","Run",220602.072053151,201104.793562908,220394.685973384,242201.584915733
2020,"Total","Run",138817.72087201,124017.853048445,138643.314659671,156124.764829437
2021,"Total","Run",102427.803159963,92872.812729596,102376.113896715,112365.794750006
2022,"Total","Run",37522.7327352069,34018.6330342776,37400.5779403958,41734.1671776091
2023,"Total","Run",39291.250611723,35336.8543584247,39110.8289961723,44452.529625454
2024,"Total","Run",56158.0652163161,50801.0941706973,55918.6283024754,62537.6920177714
1981,"Canada","Escapement",106348.582107028,67989.6120967675,105302.909899003,155821.493515869
1982,"Canada","Escapement",35777.3424540705,23290.8308762934,35234.7209077025,51753.7795995093
1983,"Canada","Escapement",55249.9708740405,38864.3811704063,54893.8948229976,74895.9747562049
1984,"Canada","Escapement",68330.5396231393,41615.5754121852,66889.2725785608,103506.480087324
1985,"Canada","Escapement",39082.0338890775,27487.2324011494,38586.5858142685,53530.29369259
1986,"Canada","Escapement",49803.5291957579,34734.4852810047,48996.1691896608,71511.865349058
1987,"Canada","Escapement",33794.5736112925,23064.7033381832,33572.3650140053,46207.5160371406
1988,"Canada","Escapement",49442.0259313792,32317.1008743804,49866.1298295834,66719.7647434268
1989,"Canada","Escapement",60544.9287141266,41796.7943343367,60591.3437642958,79715.1529229241
1990,"Canada","Escapement",85985.275942906,62142.2204811613,85590.9848273403,115618.643194589
1991,"Canada","Escapement",51661.6243583311,34437.3917352662,51740.9021243203,68014.8995498351
1992,"Canada","Escapement",46024.2868367928,27025.2214784331,45859.4918240871,63955.1146612619
1993,"Canada","Escapement",55345.8333437731,36646.1236608954,55665.5202783204,73764.2629422805
1994,"Canada","Escapement",64047.4602041912,47787.2193755674,63456.9939586314,85895.158115744
