year,estimate,system,system_alt,type,CU,hatch_contrib,pni,comments
1971,856,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1972,391,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1973,224,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1974,273,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1975,313,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1976,121,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1977,277,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1978,725,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1979,1184,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1980,1383,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1981,1555,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1982,473,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1983,905,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1984,1042,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1985,508,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1986,557,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1987,327,whitehorse,Whitehorse,fishway,UpperYukonR.,0,,
1988,405,whitehorse,Whitehorse,fishway,UpperYukonR.,0.16,,
1989,549,whitehorse,Whitehorse,fishway,UpperYukonR.,0.19,,
1990,1407,whitehorse,Whitehorse,fishway,UpperYukonR.,0.24,,
1991,1266,whitehorse,Whitehorse,fishway,UpperYukonR.,0.51,,
1992,758,whitehorse,Whitehorse,fishway,UpperYukonR.,0.84,,
1993,668,whitehorse,Whitehorse,fishway,UpperYukonR.,0.73,,
1994,1577,whitehorse,Whitehorse,fishway,UpperYukonR.,0.54,,
1995,2103,whitehorse,Whitehorse,fishway,UpperYukonR.,0.57,,
1996,2958,whitehorse,Whitehorse,fishway,UpperYukonR.,0.35,,
1997,2084,whitehorse,Whitehorse,fishway,UpperYukonR.,0.24,,
1998,777,whitehorse,Whitehorse,fishway,UpperYukonR.,0.95,,
1999,1118,whitehorse,Whitehorse,fishway,UpperYukonR.,0.74,,
2000,677,whitehorse,Whitehorse,fishway,UpperYukonR.,0.69,,
2001,988,whitehorse,Whitehorse,fishway,UpperYukonR.,0.36,,
2002,605,whitehorse,Whitehorse,fishway,UpperYukonR.,0.39,,
2003,1443,whitehorse,Whitehorse,fishway,UpperYukonR.,0.7,,
2004,1989,whitehorse,Whitehorse,fishway,UpperYukonR.,0.76,,
2005,2632,whitehorse,Whitehorse,fishway,UpperYukonR.,0.57,,
2006,1720,whitehorse,Whitehorse,fishway,UpperYukonR.,0.47,,
2007,427,whitehorse,Whitehorse,fishway,UpperYukonR.,0.56,,
2008,399,whitehorse,Whitehorse,fishway,UpperYukonR.,0.54,,
2009,828,whitehorse,Whitehorse,fishway,UpperYukonR.,0.47,,
2010,672,whitehorse,Whitehorse,fishway,UpperYukonR.,0.49,,
2011,1534,whitehorse,Whitehorse,fishway,UpperYukonR.,0.48,,
2012,1030,whitehorse,Whitehorse,fishway,UpperYukonR.,0.59,,
2013,1139,whitehorse,Whitehorse,fishway,UpperYukonR.,0.67,,
2014,1601,whitehorse,Whitehorse,fishway,UpperYukonR.,0.78,,
2015,1465,whitehorse,Whitehorse,fishway,UpperYukonR.,0.6,,
2016,1556,whitehorse,Whitehorse,fishway,UpperYukonR.,0.42,,
2017,1226,whitehorse,Whitehorse,fishway,UpperYukonR.,0.39,,
2018,691,whitehorse,Whitehorse,fishway,UpperYukonR.,0.37,,
2019,282,whitehorse,Whitehorse,fishway,UpperYukonR.,0.13,0.88,
2020,216,whitehorse,Whitehorse,fishway,UpperYukonR.,0.24,0.81,
2021,274,whitehorse,Whitehorse,fishway,UpperYukonR.,0.36,0.74,
2022,165,whitehorse,Whitehorse,fishway,UpperYukonR.,0.4,0.63,
2023,154,whitehorse,Whitehorse,fishway,UpperYukonR.,0.48,0.68,
2024,479,whitehorse,Whitehorse,fishway,UpperYukonR.,0.45,0.61,
1971,750,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1972,13,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1975,,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1979,,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1980,482,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1981,502,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1982,225,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1983,252,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1984,374,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1985,226,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1986,271,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1987,39,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1988,78,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1989,135,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1990,380,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1991,201,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1992,110,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1993,168,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1994,393,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1995,229,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1996,705,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1997,322,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1998,66,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
1999,131,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2000,32,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2001,,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2002,154,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2003,292,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2004,226,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2005,260,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2006,114,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2007,54,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2008,22,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2009,134,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2010,94,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2011,78,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2012,,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2015,242,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2016,432,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2020,11,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2021,10,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2022,25,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2023,100,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
2024,109,wolf,Wolf,aerial,YukonR.Teslinheadwaters,,,
