"HCR","escapement","harvest","ER","pr.no.harv","pr.basic.needs","harv.stability","n.below.LSR","n.between.ref","n.above.USR","n.extinct","prob"
"fixed.ER.60",45121.9053122282,63961.7400634752,0.599889134215936,0.0952380952380952,0.714285714285714,1.71784146078651,3.9,2.4,1.5,1.2,"mean"
"fixed.ER.65",10832.7470805366,16255.3337167022,0.634914987882839,0.0952380952380952,0.583333333333333,1.37209165541185,1.25,2,0,0,"q_25"
"fixed.ER.65",13367.2265365664,21841.1766309965,0.651622315972791,0.0952380952380952,0.785714285714286,1.45582420278227,3.5,3,0.5,1,"median"
"fixed.ER.65",19240.026765092,30281.9806151039,0.670119922826285,0.0952380952380952,0.904761904761905,1.9594187548256,5.75,4,1,2,"q_75"
"fixed.ER.65",17259.748530997,28265.977308722,0.652004284303037,0.0952380952380952,0.671428571428571,1.57116277390714,3.4,2.8,1.2,1.6,"mean"
"fixed.ER.70",13014.1059059336,25339.8407344002,0.688390176726271,0.0952380952380952,0.904761904761905,1.36367511507708,3,1.25,0,0,"q_25"
"fixed.ER.70",18956.391500213,44650.9767142287,0.706792337082855,0.0952380952380952,0.904761904761905,1.48406516787708,4,3.5,0.5,1,"median"
"fixed.ER.70",37782.1420904053,83730.5794634133,0.71795654704026,0.0952380952380952,0.904761904761905,1.8151816203481,5,4,1,2,"q_75"
"fixed.ER.70",29468.4636539109,68680.6480761559,0.706129096526069,0.0952380952380952,0.819047619047619,1.62487838179422,4,2.8,0.8,1.4,"mean"
"fixed.ER.75",15557.1028377354,34764.3854995408,0.713483589297209,0.0952380952380952,0.904761904761905,1.38816794579273,2,2.25,0,0.25,"q_25"
"fixed.ER.75",20981.3778420264,56961.2567977814,0.739493323020684,0.0952380952380952,0.904761904761905,1.67014967131063,3.5,3,0.5,1,"median"
"fixed.ER.75",50441.0763418923,101423.565984516,0.747695264503695,0.0952380952380952,0.904761904761905,1.81401095890937,4.75,4.75,1,1,"q_75"
"fixed.ER.75",43616.7579830818,105823.557047215,0.730929795158132,0.0952380952380952,0.833333333333333,1.6449903616464,3.2,3.4,0.8,1.6,"mean"
