"BroodYear","S_lwr","S_med","S_upr","R_lwr","R_med","R_upr","CU","CU_f"
2001,7357.23,9101.66,11249.56,17584.73,19895.53,22436.54,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2002,5298.03,6061.96,6949.49,7668.94,8857.39,10201.74,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2003,13679.69,15087.37,16556.26,12116.16,13377.6,14728.83,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2004,9662.62,10966.31,12461.58,5852.69,6708.36,7708.53,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2005,12660.02,14422.93,16462.92,7245.69,8137.01,9104.79,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2006,9050.93,10955.39,13285.4,6482.78,7314.47,8224.73,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2007,4338.02,5173.47,6170.72,7171.27,7997.3,8868.71,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2008,4915.32,5338.38,5808.14,4978.5,5699.49,6474.71,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2009,6583.71,7343.22,8163.77,6685.86,7516.71,8425.38,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2010,2802.79,3610.11,4637.7,4637.25,5357.48,6170.66,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2011,4088.73,4535.97,5042.85,9563.05,10613.4,11780.6,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2012,3823.14,4569.13,5444.67,7514.23,8478.72,9544.8,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2013,5800.64,6056.85,6320.16,5782.46,6557.11,7447.41,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2014,4967.99,5737.74,6641.1,7433.32,8318.64,9261.53,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2015,6369.62,7057.19,7804.06,5287.59,6030.51,6855.14,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2016,6388.95,7172.41,8052.2,2401.7,2832.14,3339.6,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2017,5285.84,6114.23,7063.86,1256.69,1535.59,1875.95,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2018,4621.77,5389.86,6256.97,2180.5,2622.66,3197.27,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2019,2352.63,2895.54,3577.18,2018.22,2792.43,4012.9,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2020,5108.97,5575.22,6090.94,2708,4852.57,8955.07,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2021,2805.32,3296.54,3874.29,NA,NA,NA,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2022,811.24,1125.75,1529.04,NA,NA,NA,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2023,1658.16,2098.88,2645.95,NA,NA,NA,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
2024,2262.71,2720.34,3259.39,NA,NA,NA,"NorthernYukonR.andtribs.","NorthernYukonR.andtribs."
1985,6891.11,7931.89,9100.39,21043.92,25665.46,31354.17,"Pelly","Pelly"
1986,12660.71,14414.86,16389.69,43950.26,50514.69,57741.1,"Pelly","Pelly"
1987,7728.99,8617.13,9599.43,18591.92,22374.61,26601.68,"Pelly","Pelly"
1988,4292.01,6135.67,9036.07,14915.74,17729.03,20990.22,"Pelly","Pelly"
1989,6691.08,10190.48,15095.64,25738.43,29386.86,33369.79,"Pelly","Pelly"
1990,6618.77,12573.04,26580.74,10550.41,13178.45,16063.33,"Pelly","Pelly"
1991,9121.56,10322.7,11663.67,24160.43,27584.01,31372.91,"Pelly","Pelly"
1992,11954.28,13669.62,15586.83,12439.77,15232.02,18424.33,"Pelly","Pelly"
1993,5215.41,6045.54,7018.85,18594.54,21386.85,24695.69,"Pelly","Pelly"
1994,5615.29,6496.3,7450.83,15836.44,18645.27,21801.36,"Pelly","Pelly"
1995,7110.55,8399.03,9859.95,16050.21,18952.74,22374.16,"Pelly","Pelly"
1996,6223.97,7364.7,8738.62,9990.93,11866.21,14092.09,"Pelly","Pelly"
1997,7740.96,9112.26,10803.02,14769.23,17036.36,19545.6,"Pelly","Pelly"
1998,5488.32,7539.23,10386.87,19256.27,22178.83,25340.56,"Pelly","Pelly"
1999,4673.98,5396.84,6237.64,19140.66,22430.93,25917.92,"Pelly","Pelly"
2000,8899.95,10183.53,11678.78,19991.15,23224.94,26750.2,"Pelly","Pelly"
2001,8750.61,11137.35,14156.62,23127.67,25976.56,29141.95,"Pelly","Pelly"
2002,3676.36,4333.9,5099.26,8808.39,10251.83,11845.18,"Pelly","Pelly"
2003,10310.57,11568.16,12962.35,17937.81,19727.11,21622.18,"Pelly","Pelly"
