CU_ID,CU_Name,Species,Year,SpnForAbd_Total,SpnForTrend_Total,SpnForAbd_Wild,SpnForTrend_Wild,new spawn data,difference,Recruits_Wild,Recruits_Total,Abd_StartYr,UseYear,Group
CK-70,Big Salmon,Chinook,1994,3690.319484,3690.319484,3690.319484,3690.319484,5426.373559,47%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1995,10812.00625,10812.00625,10812.00625,10812.00625,9639.636022,-11%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1996,6210.451167,6210.451167,6210.451167,6210.451167,7787.184515,25%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1997,12556.54242,12556.54242,12556.54242,12556.54242,11882.58293,-5%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1998,1953.622327,1953.622327,1953.622327,1953.622327,2113.001314,8%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1999,3330.130401,3330.130401,3330.130401,3330.130401,4582.163064,38%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2000,7123.899255,7123.899255,7123.899255,7123.899255,3399.149073,-52%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2001,11599.60273,11599.60273,11599.60273,11599.60273,6840.654296,-41%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2002,7283.824613,7283.824613,7283.824613,7283.824613,8827.875866,21%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2003,5044.184087,5044.184087,5044.184087,5044.184087,10230.51952,103%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2004,5176.72388,5176.72388,5176.72388,5176.72388,5246.819883,1%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2005,5618,5618,5618,5618,5618,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2006,7308,7308,7308,7308,7308,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2007,4506,4506,4506,4506,4506,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2008,1329,1329,1329,1329,1329,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2009,9261,9261,9261,9261,9261,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2010,3817,3817,3817,3817,3817,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2011,5156,5156,5156,5156,5156,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2012,2584,2584,2584,2584,2584,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2013,3242,3242,3242,3242,3242,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2014,6321,6321,6321,6321,6321,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2015,10078,10078,10078,10078,10078,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2016,6761,6761,6761,6761,6761,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2017,5672,5672,5672,5672,5672,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2018,5159,5159,5159,5159,5159,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2019,3874,3874,3874,3874,3874,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2020,1635,1635,1635,1635,1635,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2021,1958,1958,1958,1958,1958,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2022,2193.478864,2193.478864,2193.478864,2193.478864,2033.879139,-7%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2023,1795,1795,1795,1795,1795,0%,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2024,1899,1899,1899,1899,1899,0%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1985,3152.922515,3152.922515,3152.922515,3152.922515,3112.302114,-1%,NA,NA,1985,TRUE,CK_Yukon
